train_task,test_task,diff
motor,mem,0.05348214285714286
motor,semantic,-0.03312499999999997
semantic,glass,-0.003621031746031741
semantic,mem,-0.008839285714285704
semantic,motor,-0.009553571428571427
glass,mem,-0.0996230158730159
glass,motor,0.06712301587301582
glass,semantic,0.0019345238095238057
mem,glass,0.08197420634920641
mem,motor,-0.01294642857142861
mem,semantic,0.021428571428571415
motor,glass,0.07036706349206354
motor,mem,0.08741071428571426
motor,semantic,0.03223214285714288
semantic,glass,-0.04452380952380953
semantic,mem,-0.056339285714285744
semantic,motor,-0.06508928571428574
glass,mem,-0.08434523809523813
glass,motor,0.012430555555555558
glass,semantic,-0.025009920634920614
mem,glass,-0.024335317460317425
mem,motor,-0.036428571428571414
mem,semantic,0.0025000000000000616
motor,glass,-0.06873015873015878
motor,mem,-0.06392857142857143
motor,semantic,0.01741071428571428
semantic,glass,0.048978174603174565
semantic,mem,0.02133928571428564
semantic,motor,-0.08410714285714285
glass,mem,0.02183531746031748
glass,motor,0.06611111111111108
glass,semantic,0.010853174603174639
mem,glass,0.001547619047619028
mem,motor,0.06392857142857143
mem,semantic,0.018392857142857138
motor,glass,-0.03480158730158729
motor,mem,-0.029285714285714304
motor,semantic,0.039732142857142876
semantic,glass,0.04579365079365082
semantic,mem,-0.008482142857142915
semantic,motor,0.033124999999999995
glass,mem,-0.0405059523809524
glass,motor,-0.04897817460317457
glass,semantic,0.16266865079365078
mem,glass,0.043492063492063505
mem,motor,0.017053571428571425
mem,semantic,-0.05473214285714284
motor,glass,-0.05967261904761905
motor,mem,-0.014642857142857124
motor,semantic,-0.01151785714285716
semantic,glass,0.01050595238095239
semantic,mem,-0.013124999999999989
semantic,motor,-0.03526785714285713
glass,mem,0.035248015873015834
glass,motor,0.03668650793650794
glass,semantic,0.03259920634920636
mem,glass,-0.003313492063492056
mem,motor,0.08589285714285722
mem,semantic,0.06419642857142857
motor,glass,0.0033829365079365223
motor,mem,0.09919642857142853
motor,semantic,0.039107142857142806
semantic,glass,0.06124007936507931
semantic,mem,0.03508928571428572
semantic,motor,0.027946428571428556
glass,mem,-0.06418650793650792
glass,motor,-0.00891865079365085
glass,semantic,-0.0031051587301587358
mem,glass,0.03641865079365077
mem,motor,-0.04133928571428567
mem,semantic,-0.029821428571428582
motor,glass,0.011894841269841238
motor,mem,-0.02116071428571432
motor,semantic,0.009642857142857135
semantic,glass,-0.046319444444444434
semantic,mem,-0.07258928571428572
semantic,motor,-0.025000000000000012
glass,mem,-0.005208333333333313
glass,motor,0.043710317460317435
glass,semantic,0.07281746031746035
mem,glass,-0.042043650793650786
mem,motor,-0.0684821428571429
mem,semantic,-0.027767857142857132
motor,glass,0.03981150793650795
motor,mem,0.011785714285714292
motor,semantic,-0.025089285714285762
semantic,glass,0.06270833333333334
semantic,mem,-0.04642857142857143
semantic,motor,0.1191964285714286
glass,mem,-0.062023809523809516
glass,motor,0.03001984126984126
glass,semantic,-0.01868055555555555
mem,glass,0.007400793650793629
mem,motor,-0.0016964285714285213
mem,semantic,0.06321428571428572
motor,glass,0.0700496031746032
motor,mem,0.02875
motor,semantic,0.07053571428571434
semantic,glass,-0.016418650793650826
semantic,mem,0.0018749999999999936
semantic,motor,-0.06419642857142857
glass,mem,-0.0591468253968254
glass,motor,-0.04496031746031743
glass,semantic,0.0006150793650793591
mem,glass,-0.10231150793650796
mem,motor,0.05928571428571431
mem,semantic,-0.07053571428571426
motor,glass,-0.04067460317460314
motor,mem,-0.07696428571428572
motor,semantic,0.032321428571428557
semantic,glass,0.024732142857142866
semantic,mem,-0.012857142857142848
semantic,motor,-0.007678571428571473
glass,mem,0.02207341269841268
glass,motor,0.03943452380952378
glass,semantic,-0.07452380952380953
mem,glass,-0.0731448412698413
mem,motor,0.08419642857142853
mem,semantic,0.05124999999999997
motor,glass,-0.14713293650793652
motor,mem,-0.049464285714285725
motor,semantic,0.0016964285714286037
semantic,glass,0.022857142857142854
semantic,mem,0.032589285714285716
semantic,motor,-0.05857142857142856
glass,mem,-0.13478174603174603
glass,motor,0.13847222222222227
glass,semantic,0.04371031746031743
mem,glass,-0.022738095238095227
mem,motor,0.0566964285714286
mem,semantic,-0.008928571428571386
motor,glass,0.018005952380952366
motor,mem,0.04821428571428571
motor,semantic,0.016071428571428563
semantic,glass,-0.06580357142857142
semantic,mem,-0.05455357142857142
semantic,motor,0.03169642857142855
glass,mem,0.024821428571428578
glass,motor,0.03598214285714283
glass,semantic,0.03490079365079362
mem,glass,0.15560515873015873
mem,motor,-0.04223214285714283
mem,semantic,-0.0530357142857143
motor,glass,-0.015486111111111086
motor,mem,0.036517857142857144
motor,semantic,-0.03866071428571431
semantic,glass,-0.010902777777777817
semantic,mem,0.04598214285714284
semantic,motor,0.06616071428571432
