train_task,test_task,diff
motor,mixed,0.0037500000000000103
mem,mixed,-0.048750000000000016
mem,motor,0.015
mixed,mem,0.044375000000000005
mixed,motor,0.05562499999999997
motor,mem,0.04124999999999997
motor,mixed,0.014999999999999993
mem,mixed,0.0050000000000000044
mem,motor,-0.01812500000000001
mixed,mem,-0.02500000000000003
mixed,motor,0.011249999999999996
motor,mem,-0.006874999999999999
motor,mixed,-0.010624999999999975
mem,mixed,-0.029375000000000026
mem,motor,-0.000625000000000011
mixed,mem,0.013750000000000023
mixed,motor,-0.04874999999999999
motor,mem,-0.103125
motor,mixed,-0.001874999999999967
mem,mixed,-0.024999999999999988
mem,motor,-0.03187499999999999
mixed,mem,-0.030625000000000013
mixed,motor,-0.012500000000000025
motor,mem,-0.024375000000000008
motor,mixed,-0.04
mem,mixed,0.008125000000000004
mem,motor,-0.03500000000000002
mixed,mem,0.028750000000000015
mixed,motor,-0.070625
motor,mem,0.11562499999999998
motor,mixed,-0.001874999999999974
mem,mixed,0.005624999999999977
mem,motor,0.021874999999999978
mixed,mem,-0.0125
mixed,motor,-0.0012500000000000011
motor,mem,-0.05187499999999999
motor,mixed,-0.035625000000000004
mem,mixed,-0.056249999999999974
mem,motor,-0.000625000000000011
mixed,mem,-0.07249999999999998
mixed,motor,0.0031250000000000028
motor,mem,-0.018750000000000006
motor,mixed,0.047499999999999966
mem,mixed,-0.002500000000000016
mem,motor,-0.0575
mixed,mem,-0.05062499999999996
mixed,motor,-0.04750000000000001
motor,mem,0.05937500000000002
motor,mixed,0.02374999999999995
mem,mixed,-0.029375000000000033
mem,motor,-0.04499999999999999
mixed,mem,0.006249999999999985
mixed,motor,2.0816681711721685e-17
motor,mem,-0.02624999999999999
motor,mixed,-0.01625
mem,mixed,-0.03625
mem,motor,0.008125000000000021
mixed,mem,0.0018749999999999947
mixed,motor,-0.002500000000000044
motor,mem,0.06624999999999999
motor,mixed,0.07937500000000003
mem,mixed,0.026250000000000016
mem,motor,-0.001250000000000015
mixed,mem,0.03562500000000002
mixed,motor,-0.01187499999999999
motor,mem,0.06687500000000002
motor,mixed,-0.026249999999999996
mem,mixed,0.005625000000000012
mem,motor,0.04500000000000002
mixed,mem,0.02250000000000002
mixed,motor,-0.025
motor,mem,-0.05312499999999998
motor,mixed,-0.021250000000000005
mem,mixed,0.0031250000000000305
mem,motor,0.0006249999999999797
mixed,mem,-0.055625000000000015
mixed,motor,-0.03374999999999998
motor,mem,0.04187499999999999
motor,mixed,-0.02500000000000001
mem,mixed,0.0012499999999999872
mem,motor,-0.03624999999999998
mixed,mem,0.030625000000000048
mixed,motor,-0.113125
motor,mem,-0.10875000000000003
motor,mixed,0.01249999999999998
mem,mixed,0.03312499999999998
mem,motor,0.004375000000000004
mixed,mem,-0.016874999999999987
mixed,motor,0.039999999999999994
motor,mem,0.010625000000000051
motor,mixed,0.002500000000000009
mem,mixed,-0.04187499999999998
mem,motor,0.026249999999999975
mixed,mem,-0.019999999999999962
mixed,motor,0.008125000000000014
motor,mem,0.015625000000000007
motor,mixed,0.019375000000000014
mem,mixed,0.0031249999999999993
mem,motor,-0.03437499999999993
mixed,mem,0.019999999999999983
mixed,motor,-0.046874999999999986
motor,mem,-0.09125
motor,mixed,-0.02375000000000002
mem,mixed,-0.07000000000000005
mem,motor,-0.059375000000000004
mixed,mem,-0.025
mixed,motor,-0.01875
motor,mem,-0.021875000000000006
motor,mixed,-0.043750000000000004
mem,mixed,0.009374999999999991
mem,motor,-0.023125
mixed,mem,0.01812499999999999
mixed,motor,-0.01750000000000001
motor,mem,0.03187500000000001
motor,mixed,0.012499999999999997
mem,mixed,-0.059999999999999956
mem,motor,0.05812499999999999
mixed,mem,0.021875000000000016
mixed,motor,0.02687499999999997
motor,mem,0.06312499999999999
motor,mixed,0.06625000000000003
mem,mixed,-0.09500000000000001
mem,motor,0.05499999999999997
mixed,mem,0.014375000000000018
mixed,motor,0.065
motor,mem,-0.07562500000000001
motor,mixed,0.02375
mem,mixed,-0.08312500000000002
mem,motor,0.06687499999999999
mixed,mem,0.026874999999999996
mixed,motor,-0.023749999999999986
motor,mem,-0.028750000000000022
motor,mixed,-0.018124999999999985
mem,mixed,-0.010000000000000002
mem,motor,-0.023125000000000027
mixed,mem,-0.014374999999999988
mixed,motor,0.009375000000000012
motor,mem,0.05624999999999998
motor,mixed,0.0037500000000000033
mem,mixed,-0.034374999999999975
mem,motor,0.01750000000000003
mixed,mem,0.015624999999999993
mixed,motor,-0.03125000000000003
motor,mem,-0.05812500000000002
motor,mixed,0.06562500000000002
mem,mixed,-0.016249999999999973
mem,motor,0.04437499999999996
mixed,mem,0.01500000000000002
mixed,motor,-0.021250000000000047
motor,mem,0.08937499999999998
motor,mixed,0.02687500000000002
mem,mixed,0.039374999999999966
mem,motor,0.02562500000000001
mixed,mem,0.014374999999999968
mixed,motor,-0.02500000000000001
motor,mem,0.07374999999999998
motor,mixed,0.056875
mem,mixed,0.031875000000000014
mem,motor,-0.04062499999999998
mixed,mem,-0.015625000000000007
mixed,motor,-0.023125000000000007
motor,mem,-0.05687500000000001
motor,mixed,-0.031875
mem,mixed,0.116875
mem,motor,-0.05937499999999998
mixed,mem,-0.023124999999999975
mixed,motor,-0.046875
motor,mem,-0.06125000000000001
motor,mixed,0.098125
mem,mixed,0.013125000000000029
mem,motor,-0.032499999999999994
mixed,mem,-0.03874999999999999
mixed,motor,0.026249999999999996
motor,mem,-0.006250000000000009
motor,mixed,-0.06249999999999998
mem,mixed,0.01187500000000001
mem,motor,-0.05062499999999999
mixed,mem,-0.04187500000000002
mixed,motor,-0.04499999999999999
motor,mem,-0.05749999999999997
motor,mixed,-0.054999999999999986
mem,mixed,1.0408340855860843e-17
mem,motor,0.024375000000000004
mixed,mem,0.04562499999999998
mixed,motor,0.03999999999999999
motor,mem,-0.048749999999999995
motor,mixed,-0.058750000000000024
mem,mixed,-0.00499999999999998
mem,motor,0.11125000000000002
mixed,mem,-0.010624999999999975
mixed,motor,0.03374999999999999
motor,mem,0.05187500000000003
motor,mixed,-0.01562499999999998
mem,mixed,0.009375000000000008
mem,motor,-0.07062500000000003
mixed,mem,-0.02812499999999998
mixed,motor,-0.029375
motor,mem,0.05187500000000001
motor,mixed,-0.09125000000000001
mem,mixed,-0.052499999999999984
mem,motor,0.03062500000000002
mixed,mem,0.0018750000000000086
mixed,motor,-0.016875000000000022
motor,mem,0.07750000000000001
motor,mixed,-0.010625000000000016
mem,mixed,0.03749999999999999
mem,motor,0.04875
mixed,mem,-0.05124999999999997
mixed,motor,-0.016875
motor,mem,-0.036250000000000004
motor,mixed,0.12375
mem,mixed,-0.03624999999999999
mem,motor,-0.06874999999999998
mixed,mem,0.02062499999999999
mixed,motor,0.05499999999999999
motor,mem,-0.038750000000000014
motor,mixed,0.04125000000000001
mem,mixed,0.005625000000000026
mem,motor,-0.014374999999999992
mixed,mem,0.018749999999999975
mixed,motor,-0.03062500000000001
motor,mem,0.023749999999999993
motor,mixed,-0.021874999999999978
mem,mixed,-0.004374999999999962
mem,motor,-0.006249999999999971
mixed,mem,-0.06812499999999998
mixed,motor,-0.06437500000000002
motor,mem,-0.06687499999999999
motor,mixed,-0.03187500000000002
mem,mixed,-0.02187500000000002
mem,motor,0.002500000000000016
mixed,mem,0.02937500000000004
mixed,motor,0.033124999999999974
motor,mem,-0.06687500000000002
motor,mixed,-0.08874999999999998
mem,mixed,0.07312500000000002
mem,motor,0.06187499999999995
mixed,mem,-0.07625
mixed,motor,-0.018750000000000003
motor,mem,-0.07812500000000003
motor,mixed,-0.08625
mem,mixed,-0.05437500000000003
mem,motor,0.008125000000000028
mixed,mem,-0.03875000000000001
mixed,motor,-0.04125000000000003
motor,mem,0.04937499999999999
motor,mixed,0.05187500000000003
mem,mixed,-0.06062499999999999
mem,motor,0.048749999999999995
mixed,mem,0.028125000000000018
mixed,motor,-0.011250000000000034
motor,mem,-0.034999999999999976
motor,mixed,-0.026874999999999975
mem,mixed,0.022500000000000013
mem,motor,0.034375
mixed,mem,-0.04999999999999995
mixed,motor,0.0006250000000000075
motor,mem,0.021250000000000012
motor,mixed,-0.04312499999999996
mem,mixed,-0.058750000000000024
mem,motor,0.05937499999999998
mixed,mem,0.00875
mixed,motor,-0.03875000000000001
motor,mem,-0.039375
motor,mixed,0.053124999999999985
mem,mixed,-0.07500000000000002
mem,motor,-0.00562499999999997
mixed,mem,0.058124999999999996
mixed,motor,-0.03250000000000003
motor,mem,0.05187499999999999
motor,mixed,-0.04499999999999998
mem,mixed,0.035000000000000045
mem,motor,0.04999999999999997
mixed,mem,0.03250000000000002
mixed,motor,0.10375
motor,mem,0.021874999999999985
motor,mixed,-0.048750000000000016
mem,mixed,-0.019999999999999997
mem,motor,0.032499999999999966
mixed,mem,-0.03187499999999999
mixed,motor,-0.10312500000000002
motor,mem,0.079375
motor,mixed,0.048124999999999946
mem,mixed,0.04437500000000003
mem,motor,-0.020625000000000004
mixed,mem,0.01625000000000002
mixed,motor,0.05062500000000001
motor,mem,-0.05749999999999998
motor,mixed,0.07249999999999998
mem,mixed,0.146875
mem,motor,0.08499999999999999
mixed,mem,-0.05437500000000001
mixed,motor,-0.033749999999999995
motor,mem,0.028750000000000032
motor,mixed,-0.028125000000000015
mem,mixed,0.03624999999999999
mem,motor,0.07687500000000001
mixed,mem,-0.01062500000000003
mixed,motor,-0.04874999999999999
motor,mem,-0.07437500000000001
