acc,train,test,train_task,test_task
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.5,MSC02,MSC03,motor,mem
0.6,MSC02,MSC04,mixed,mem
0.5,MSC02,MSC04,mixed,mem
0.5,MSC02,MSC04,mixed,mem
0.55,MSC02,MSC04,mixed,mem
0.55,MSC02,MSC04,mixed,mem
0.55,MSC02,MSC04,mixed,mem
0.5,MSC02,MSC04,mixed,mem
0.6,MSC02,MSC04,mixed,mem
0.55,MSC02,MSC04,mixed,mem
0.55,MSC02,MSC04,mixed,mem
0.75,MSC02,MSC04,mixed,motor
0.5,MSC02,MSC04,mixed,motor
0.55,MSC02,MSC04,mixed,motor
0.7,MSC02,MSC04,mixed,motor
0.75,MSC02,MSC04,mixed,motor
0.75,MSC02,MSC04,mixed,motor
0.7,MSC02,MSC04,mixed,motor
0.75,MSC02,MSC04,mixed,motor
0.7,MSC02,MSC04,mixed,motor
0.75,MSC02,MSC04,mixed,motor
0.95,MSC02,MSC04,mem,mixed
0.95,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
0.95,MSC02,MSC04,mem,mixed
1.0,MSC02,MSC04,mem,mixed
0.95,MSC02,MSC04,mem,mixed
0.95,MSC02,MSC04,mem,motor
0.95,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
0.95,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
1.0,MSC02,MSC04,mem,motor
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mixed
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.5,MSC02,MSC04,motor,mem
0.7,MSC02,MSC05,mixed,mem
0.5,MSC02,MSC05,mixed,mem
0.6,MSC02,MSC05,mixed,mem
0.65,MSC02,MSC05,mixed,mem
0.65,MSC02,MSC05,mixed,mem
0.7,MSC02,MSC05,mixed,mem
0.6,MSC02,MSC05,mixed,mem
0.7,MSC02,MSC05,mixed,mem
0.7,MSC02,MSC05,mixed,mem
0.65,MSC02,MSC05,mixed,mem
0.85,MSC02,MSC05,mixed,motor
0.55,MSC02,MSC05,mixed,motor
0.6,MSC02,MSC05,mixed,motor
0.8,MSC02,MSC05,mixed,motor
0.75,MSC02,MSC05,mixed,motor
0.8,MSC02,MSC05,mixed,motor
0.8,MSC02,MSC05,mixed,motor
0.8,MSC02,MSC05,mixed,motor
0.85,MSC02,MSC05,mixed,motor
0.7,MSC02,MSC05,mixed,motor
0.9,MSC02,MSC05,mem,mixed
0.95,MSC02,MSC05,mem,mixed
0.95,MSC02,MSC05,mem,mixed
0.95,MSC02,MSC05,mem,mixed
1.0,MSC02,MSC05,mem,mixed
0.9,MSC02,MSC05,mem,mixed
1.0,MSC02,MSC05,mem,mixed
1.0,MSC02,MSC05,mem,mixed
0.95,MSC02,MSC05,mem,mixed
0.95,MSC02,MSC05,mem,mixed
