Network,task,train,diff_sub,feature,mu,std,z_score
fp,mem,MSC07,0.6807142857142857,4620,0.8801739130434781,0.03076559308569043,-6.483204363187274
fp,mem,MSC10,0.7692857142857142,4620,0.8584782608695645,0.026739686835523944,-3.3355868052036057
dan,mem,MSC01,0.5128571428571428,5264,0.8663550724637679,0.029681701914314285,-11.90962467809662
dan,mem,MSC02,0.8507142857142858,5264,0.9148550724637684,0.029674596955363057,-2.1614712019834377
dan,mem,MSC03,0.6314285714285715,5264,0.7575357142857146,0.03831135431042807,-3.2916388659958637
dan,mem,MSC04,0.6878571428571428,5264,0.9157608695652181,0.024717931210807752,-9.22017804663304
dan,mem,MSC05,0.705,5264,0.8836231884057978,0.017873802646558447,-9.993575062785604
dan,mem,MSC06,0.8014285714285715,5264,0.9259782608695661,0.020289691688490364,-6.138569838971351
dan,mem,MSC07,0.7135714285714285,5264,0.8849710144927541,0.028637313548569663,-5.985183827757697
dan,mem,MSC10,0.7957142857142857,5264,0.8595724637681158,0.0287369106323921,-2.222165732103766
visual,mem,MSC01,0.8407142857142857,8736,0.8735434782608696,0.024217856318327673,-1.3555779716860945
visual,mem,MSC02,0.9128571428571428,8736,0.9205000000000009,0.026674306370664078,-0.2865250566089148
visual,mem,MSC03,0.7428571428571429,8736,0.7529375,0.032285411946364966,-0.31222637516917634
visual,mem,MSC04,0.7971428571428572,8736,0.9158623188405802,0.020162906441323732,-5.888013320064234
visual,mem,MSC05,0.7957142857142857,8736,0.8910869565217401,0.01422774096445435,-6.703289794615123
visual,mem,MSC06,0.8714285714285714,8736,0.9316304347826094,0.01670762980169205,-3.603255762103437
visual,mem,MSC07,0.845,8736,0.890384057971015,0.022075630902078074,-2.055844209949301
visual,mem,MSC10,0.7871428571428571,8736,0.859847826086956,0.02399311308866002,-3.0302432483620367
default,mem,MSC01,0.9021428571428572,10824,0.8717173913043478,0.02294592490525138,1.3259638024678766
default,mem,MSC02,0.8835714285714286,10824,0.9223260869565226,0.023006693367815124,-1.6844949322143496
default,mem,MSC03,0.8114285714285714,10824,0.7550357142857141,0.02873065077149947,1.9628116881640014
default,mem,MSC04,0.8828571428571429,10824,0.9198913043478268,0.014055916479181713,-2.6347738723074676
default,mem,MSC05,0.7171428571428571,10824,0.8903985507246388,0.011553588191761352,-14.995834255658092
default,mem,MSC06,0.8878571428571429,10824,0.9347971014492762,0.012734836311270705,-3.6859491119324437
default,mem,MSC07,0.9314285714285714,10824,0.8945869565217397,0.0196544630893837,1.8744655979298452
default,mem,MSC10,0.81,10824,0.8673623188405797,0.02594258919255215,-2.211125436047369
unassign,mem,MSC01,0.7964285714285715,14808,0.8718985507246372,0.01889471743947146,-3.9942369891389498
unassign,mem,MSC02,0.7792857142857142,14808,0.9223768115942037,0.02283210564006552,-6.267100352645304
unassign,mem,MSC03,0.5257142857142857,14808,0.7566071428571433,0.027809035958331382,-8.30279976223641
unassign,mem,MSC04,0.7328571428571429,14808,0.921746376811595,0.01286763783291403,-14.679402420799708
unassign,mem,MSC05,0.7685714285714286,14808,0.8945942028985518,0.012102485805165751,-10.412966092745384
unassign,mem,MSC06,0.795,14808,0.9367101449275371,0.01265597390257157,-11.197095223050592
unassign,mem,MSC07,0.6892857142857143,14808,0.895565217391305,0.016984357060268088,-12.145264161228999
unassign,mem,MSC10,0.7485714285714286,14808,0.8706666666666664,0.022617421151074124,-5.398282911199157
pon,motor,MSC01,0.6021428571428571,21,0.5882318840579709,0.06928606521841951,0.2007759141904339
pon,motor,MSC02,0.5671428571428572,21,0.597644927536232,0.05480149061652005,-0.5565919840906645
pon,motor,MSC03,0.5435714285714286,21,0.6018260869565217,0.06627018942162995,-0.8790477120030592
pon,motor,MSC04,0.5007142857142857,21,0.612072463768116,0.08179622262897432,-1.3614097873314799
pon,motor,MSC05,0.5592857142857143,21,0.5992101449275361,0.0633659426787446,-0.6300613382212656
pon,motor,MSC06,0.5442857142857143,21,0.6056674660271782,0.05994183098543148,-1.0240219681708167
pon,motor,MSC07,0.6035714285714285,21,0.5893924860111911,0.06721565337499931,0.21094703165544562
pon,motor,MSC10,0.4871428571428572,21,0.5991739130434779,0.06914014749530044,-1.6203473663147103
pmn,motor,MSC01,0.4814285714285714,45,0.6067536231884058,0.06673154697447059,-1.878048051362871
pmn,motor,MSC02,0.5742857142857143,45,0.6169130434782609,0.05459104509272368,-0.7808483812710216
pmn,motor,MSC03,0.4764285714285714,45,0.6419637681159422,0.05830456804964815,-2.8391462663167744
pmn,motor,MSC04,0.5542857142857143,45,0.6566739130434783,0.0673511366512403,-1.5202148597425122
pmn,motor,MSC05,0.575,45,0.621891304347826,0.06528577678147875,-0.7182468626325497
pmn,motor,MSC06,0.6178571428571429,45,0.6311031175059952,0.06041938971366968,-0.21923383721063136
pmn,motor,MSC07,0.5478571428571428,45,0.6175459632294164,0.06326914080778995,-1.101466204258825
pmn,motor,MSC10,0.5842857142857143,45,0.6364782608695654,0.06260689114821745,-0.8336549799332612
sm-lat,motor,MSC01,0.6535714285714286,316,0.7657681159420288,0.05906683870690188,-1.8994869173096638
sm-lat,motor,MSC02,0.7521428571428571,316,0.6326159420289857,0.07773388171198305,1.5376424344372568
sm-lat,motor,MSC03,0.6914285714285714,316,0.7754565217391304,0.0627467288035163,-1.3391606528793274
sm-lat,motor,MSC04,0.7335714285714285,316,0.8319999999999996,0.06358367211760897,-1.5480164663423412
sm-lat,motor,MSC05,0.735,316,0.7339420289855072,0.07033762131378671,0.015041324894582644
sm-lat,motor,MSC06,0.7528571428571429,316,0.7429336530775379,0.07285224325237787,0.13621392199588997
sm-lat,motor,MSC07,0.6335714285714286,316,0.7666346922462033,0.06487530449487652,-2.051061874943235
sm-lat,motor,MSC10,0.7592857142857143,316,0.775978260869565,0.05955299859609493,-0.28029733140835067
salience,motor,MSC01,0.6921428571428572,494,0.8088550724637679,0.05690840828715931,-2.0508782240399683
salience,motor,MSC02,0.6592857142857143,494,0.6154347826086957,0.05249988646820521,0.8352576477203514
salience,motor,MSC03,0.6228571428571429,494,0.8027971014492753,0.06612753398345918,-2.7211049278979877
salience,motor,MSC04,0.6471428571428571,494,0.8804855072463771,0.04323435404255705,-5.397158238419217
salience,motor,MSC05,0.6742857142857143,494,0.7415507246376809,0.06797034651995205,-0.9896228840354908
salience,motor,MSC06,0.665,494,0.7770023980815348,0.06881289405378953,-1.627636791354611
salience,motor,MSC07,0.6178571428571429,494,0.7956594724220623,0.06425851500760466,-2.766984726364707
salience,motor,MSC10,0.5628571428571428,494,0.8017173913043475,0.060857247483205916,-3.9249269121663812
auditory,motor,MSC01,0.6335714285714286,564,0.808492753623188,0.05868955944312063,-2.9804504704330848
auditory,motor,MSC02,0.4842857142857143,564,0.6125289855072465,0.06274027369120994,-2.0440342968969136
auditory,motor,MSC03,0.5157142857142857,564,0.807811594202898,0.06015701508066973,-4.8555818153030685
auditory,motor,MSC04,0.6992857142857143,564,0.8833188405797103,0.04151702840532058,-4.432714318985591
auditory,motor,MSC05,0.5507142857142857,564,0.745086956521739,0.0740798835182835,-2.6238252758521217
auditory,motor,MSC06,0.6821428571428572,564,0.7613509192645884,0.0716224724942201,-1.1059107478888461
auditory,motor,MSC07,0.6257142857142857,564,0.8109912070343727,0.05891294858520135,-3.144926977337333
auditory,motor,MSC10,0.67,564,0.8141594202898544,0.052006965041136013,-2.771925263776274
sm,motor,MSC01,0.5857142857142857,2375,0.8917101449275373,0.02891025952184398,-10.584334567527753
sm,motor,MSC02,0.8042857142857143,2375,0.594456521739131,0.03282752821819364,6.391866946299416
sm,motor,MSC03,0.7842857142857143,2375,0.8478985507246375,0.03571220040872542,-1.7812634256885769
sm,motor,MSC04,0.8728571428571429,2375,0.954188405797103,0.01754058679143533,-4.636746986119773
sm,motor,MSC05,0.8435714285714286,2375,0.7555652173913043,0.04569181948685804,1.9260824403247239
sm,motor,MSC06,0.7857142857142857,2375,0.7992006394884094,0.047366901019974345,-0.28472104958769723
sm,motor,MSC07,0.6,2375,0.8572821742605915,0.04047182578802122,-6.357068633576236
sm,motor,MSC10,0.7571428571428571,2375,0.8638333333333337,0.033653238071279394,-3.1702885756342467
van,motor,MSC01,0.5335714285714286,3151,0.8963623188405802,0.026043405309435098,-13.930240149421566
van,motor,MSC02,0.6392857142857142,3151,0.5910797101449279,0.030737336414213886,1.5683208034413294
van,motor,MSC03,0.775,3151,0.8404420289855067,0.04083920821532961,-1.602431385066423
van,motor,MSC04,0.7507142857142858,3151,0.9533333333333343,0.017853315204589448,-11.349099329572267
van,motor,MSC05,0.5564285714285714,3151,0.7645072463768114,0.03959973034392947,-5.254547774468317
van,motor,MSC06,0.5614285714285714,3151,0.7932294164668265,0.045500405789885096,-5.094478631875967
van,motor,MSC07,0.51,3151,0.8624220623501199,0.040849692234563736,-8.627288066859132
van,motor,MSC10,0.63,3151,0.8576666666666662,0.033105838035980356,-6.8769341050733015
