train,task,same_sub,diff_sub,feature,Null_Network
MSC03,glass,0.9,0.5158273381294964,14808,unassign
MSC04,glass,0.95,0.6971223021582734,14808,unassign
MSC05,glass,0.95,0.5719424460431655,14808,unassign
MSC06,glass,0.7777777777777778,0.5634920634920635,14808,unassign
MSC07,glass,0.9,0.5115107913669065,14808,unassign
MSC10,glass,0.85,0.616546762589928,14808,unassign
MSC01,motor,1.0,0.9,14808,unassign
MSC02,motor,0.95,0.563768115942029,14808,unassign
MSC03,motor,0.95,0.8057971014492754,14808,unassign
MSC04,motor,1.0,0.9688405797101449,14808,unassign
MSC05,motor,1.0,0.7514492753623189,14808,unassign
MSC06,motor,1.0,0.7737809752198241,14808,unassign
MSC07,motor,0.9444444444444444,0.8473221422861711,14808,unassign
MSC10,motor,0.95,0.8521739130434782,14808,unassign
MSC01,mem,1.0,0.8681159420289856,14808,unassign
MSC02,mem,1.0,0.8956521739130434,14808,unassign
MSC03,mem,0.9375,0.7544642857142857,14808,unassign
MSC04,mem,1.0,0.9101449275362319,14808,unassign
MSC05,mem,1.0,0.8710144927536232,14808,unassign
MSC06,mem,1.0,0.9057971014492754,14808,unassign
MSC07,mem,1.0,0.9115942028985508,14808,unassign
MSC10,mem,0.95,0.9057971014492754,14808,unassign
MSC01,semantic,0.95,0.7714285714285715,14808,unassign
MSC02,semantic,0.95,0.5457142857142857,14808,unassign
MSC03,semantic,0.9,0.5142857142857142,14808,unassign
MSC04,semantic,0.95,0.7592857142857142,14808,unassign
MSC05,semantic,0.95,0.7471428571428571,14808,unassign
MSC06,semantic,0.95,0.8578571428571429,14808,unassign
MSC07,semantic,1.0,0.5542857142857143,14808,unassign
MSC10,semantic,0.9,0.7914285714285715,14808,unassign
MSC01,glass,0.9,0.6230215827338129,14808,unassign
MSC02,glass,0.8,0.5237410071942445,14808,unassign
MSC03,glass,0.9,0.518705035971223,14808,unassign
MSC04,glass,0.95,0.6956834532374101,14808,unassign
