,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC04,semantic,0.7,0.6521428571428571,salience,salience
0,MSC05,semantic,0.85,0.635,salience,salience
0,MSC06,semantic,0.7,0.5478571428571429,salience,salience
0,MSC07,semantic,0.75,0.5828571428571429,salience,salience
0,MSC10,semantic,0.75,0.6235714285714286,salience,salience
0,MSC01,glass,0.6,0.5388489208633094,salience,salience
0,MSC02,glass,0.7,0.4352517985611511,salience,salience
0,MSC03,glass,0.75,0.5402877697841727,salience,salience
0,MSC04,glass,0.85,0.4776978417266187,salience,salience
0,MSC05,glass,0.8,0.4827338129496403,salience,salience
0,MSC06,glass,0.5555555555555556,0.4579365079365079,salience,salience
0,MSC07,glass,0.75,0.5244604316546763,salience,salience
0,MSC10,glass,0.55,0.5086330935251798,salience,salience
0,MSC01,motor,0.55,0.486231884057971,salience,salience
0,MSC02,motor,0.6,0.5927536231884059,salience,salience
0,MSC03,motor,0.75,0.563768115942029,salience,salience
0,MSC04,motor,0.65,0.5992753623188406,salience,salience
0,MSC05,motor,0.75,0.4789855072463768,salience,salience
0,MSC06,motor,0.8333333333333334,0.5107913669064749,salience,salience
0,MSC07,motor,0.6111111111111112,0.5123900879296563,salience,salience
0,MSC10,motor,0.75,0.5246376811594203,salience,salience
0,MSC01,mem,0.5,0.5144927536231884,salience,salience
0,MSC02,mem,0.65,0.5413043478260869,salience,salience
0,MSC03,mem,0.625,0.5116071428571428,salience,salience
0,MSC04,mem,0.55,0.527536231884058,salience,salience
0,MSC05,mem,0.55,0.5478260869565218,salience,salience
0,MSC06,mem,0.6,0.5239130434782608,salience,salience
0,MSC07,mem,0.85,0.558695652173913,salience,salience
0,MSC10,mem,0.7,0.5666666666666667,salience,salience
0,MSC01,semantic,1.0,0.6821428571428572,co,co
0,MSC02,semantic,0.75,0.6314285714285715,co,co
0,MSC03,semantic,0.85,0.5114285714285715,co,co
0,MSC04,semantic,0.9,0.7435714285714285,co,co
0,MSC05,semantic,1.0,0.6599999999999999,co,co
0,MSC06,semantic,0.85,0.6221428571428571,co,co
0,MSC07,semantic,0.95,0.7021428571428572,co,co
0,MSC10,semantic,0.8,0.5828571428571429,co,co
0,MSC01,glass,0.8,0.6035971223021582,co,co
0,MSC02,glass,0.8,0.5697841726618705,co,co
0,MSC03,glass,0.9,0.5230215827338129,co,co
0,MSC04,glass,0.85,0.6510791366906474,co,co
0,MSC05,glass,0.75,0.49280575539568344,co,co
0,MSC06,glass,0.7222222222222222,0.5746031746031746,co,co
0,MSC07,glass,0.85,0.6474820143884892,co,co
0,MSC10,glass,0.85,0.541726618705036,co,co
0,MSC01,motor,1.0,0.7108695652173913,co,co
0,MSC02,motor,0.95,0.6942028985507247,co,co
0,MSC03,motor,1.0,0.5891304347826087,co,co
0,MSC04,motor,0.95,0.6594202898550725,co,co
0,MSC05,motor,1.0,0.6159420289855072,co,co
0,MSC06,motor,0.8888888888888888,0.6754596322941647,co,co
0,MSC07,motor,0.8333333333333334,0.5979216626698641,co,co
0,MSC10,motor,0.95,0.644927536231884,co,co
0,MSC01,mem,0.95,0.768840579710145,co,co
0,MSC02,mem,0.9,0.6347826086956522,co,co
0,MSC03,mem,0.9375,0.5696428571428571,co,co
0,MSC04,mem,0.9,0.7644927536231884,co,co
0,MSC05,mem,1.0,0.6159420289855072,co,co
0,MSC06,mem,0.85,0.682608695652174,co,co
0,MSC07,mem,0.85,0.6239130434782608,co,co
0,MSC10,mem,0.9,0.5057971014492754,co,co
0,MSC01,semantic,0.9,0.6371428571428571,sm,sm
0,MSC02,semantic,0.7,0.5728571428571428,sm,sm
0,MSC03,semantic,0.85,0.555,sm,sm
0,MSC04,semantic,0.9,0.5885714285714285,sm,sm
0,MSC05,semantic,0.8,0.6007142857142858,sm,sm
0,MSC06,semantic,0.85,0.6471428571428571,sm,sm
0,MSC07,semantic,0.9,0.6321428571428571,sm,sm
0,MSC10,semantic,0.8,0.5757142857142857,sm,sm
0,MSC01,glass,0.95,0.5949640287769784,sm,sm
0,MSC02,glass,0.7,0.5719424460431655,sm,sm
0,MSC03,glass,0.75,0.5287769784172662,sm,sm
0,MSC04,glass,0.8,0.5568345323741007,sm,sm
0,MSC05,glass,0.9,0.5323741007194245,sm,sm
0,MSC06,glass,0.8888888888888888,0.5658730158730159,sm,sm
0,MSC07,glass,0.95,0.5949640287769784,sm,sm
0,MSC10,glass,0.8,0.5992805755395684,sm,sm
0,MSC01,motor,0.9,0.4971014492753623,sm,sm
0,MSC02,motor,1.0,0.8231884057971015,sm,sm
0,MSC03,motor,1.0,0.7811594202898551,sm,sm
0,MSC04,motor,1.0,0.8028985507246377,sm,sm
0,MSC05,motor,1.0,0.7913043478260869,sm,sm
0,MSC06,motor,0.8888888888888888,0.5795363709032774,sm,sm
0,MSC07,motor,1.0,0.6666666666666666,sm,sm
0,MSC10,motor,0.95,0.7014492753623188,sm,sm
0,MSC01,mem,0.95,0.5659420289855073,sm,sm
0,MSC02,mem,0.95,0.6659420289855073,sm,sm
0,MSC03,mem,0.75,0.5526785714285715,sm,sm
0,MSC04,mem,1.0,0.6181159420289855,sm,sm
0,MSC05,mem,1.0,0.6536231884057971,sm,sm
0,MSC06,mem,0.95,0.7282608695652174,sm,sm
0,MSC07,mem,0.9,0.6876811594202898,sm,sm
0,MSC10,mem,1.0,0.6673913043478261,sm,sm
0,MSC01,semantic,0.8,0.5042857142857143,sm-lat,sm-lat
0,MSC02,semantic,0.85,0.5821428571428572,sm-lat,sm-lat
0,MSC03,semantic,0.55,0.6007142857142858,sm-lat,sm-lat
0,MSC04,semantic,0.65,0.5571428571428572,sm-lat,sm-lat
0,MSC05,semantic,0.8,0.5171428571428571,sm-lat,sm-lat
0,MSC06,semantic,0.5,0.5107142857142857,sm-lat,sm-lat
0,MSC07,semantic,0.85,0.6007142857142858,sm-lat,sm-lat
0,MSC10,semantic,0.7,0.5328571428571428,sm-lat,sm-lat
0,MSC01,glass,0.95,0.5381294964028777,sm-lat,sm-lat
0,MSC02,glass,0.7,0.5964028776978417,sm-lat,sm-lat
0,MSC03,glass,0.6,0.5352517985611511,sm-lat,sm-lat
0,MSC04,glass,0.65,0.5345323741007194,sm-lat,sm-lat
0,MSC05,glass,0.7,0.5784172661870504,sm-lat,sm-lat
0,MSC06,glass,0.5,0.45555555555555555,sm-lat,sm-lat
0,MSC07,glass,0.65,0.560431654676259,sm-lat,sm-lat
0,MSC10,glass,0.75,0.5733812949640288,sm-lat,sm-lat
0,MSC01,motor,0.9,0.6760869565217391,sm-lat,sm-lat
0,MSC02,motor,1.0,0.7347826086956522,sm-lat,sm-lat
0,MSC03,motor,0.9,0.6811594202898551,sm-lat,sm-lat
0,MSC04,motor,0.85,0.7057971014492753,sm-lat,sm-lat
0,MSC05,motor,0.95,0.7050724637681159,sm-lat,sm-lat
0,MSC06,motor,0.8888888888888888,0.645083932853717,sm-lat,sm-lat
0,MSC07,motor,0.9444444444444444,0.768185451638689,sm-lat,sm-lat
0,MSC10,motor,0.8,0.7434782608695653,sm-lat,sm-lat
0,MSC01,mem,0.8,0.5159420289855072,sm-lat,sm-lat
0,MSC02,mem,0.95,0.677536231884058,sm-lat,sm-lat
0,MSC03,mem,0.875,0.5321428571428571,sm-lat,sm-lat
0,MSC04,mem,0.75,0.6355072463768117,sm-lat,sm-lat
0,MSC05,mem,0.75,0.6652173913043478,sm-lat,sm-lat
0,MSC06,mem,0.8,0.6710144927536232,sm-lat,sm-lat
0,MSC07,mem,0.75,0.6818840579710145,sm-lat,sm-lat
