sub,train_task,test_task,acc,frames
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.5250000000000001,62
MSC05,mem,mixed,0.8200000000000001,62
MSC06,mem,mixed,0.7055555555555556,62
MSC07,mem,mixed,0.645,62
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,63
MSC05,mem,mixed,0.8099999999999999,63
MSC06,mem,mixed,0.7277777777777779,63
MSC07,mem,mixed,0.655,63
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,64
MSC05,mem,mixed,0.82,64
MSC06,mem,mixed,0.7277777777777777,64
MSC07,mem,mixed,0.7150000000000001,64
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.52,65
