sub,acc,train_task,test_task,iteration
MSC02,0.51,motor,mixed,9
MSC03,0.48,motor,mixed,9
MSC04,0.5,motor,mixed,9
MSC05,0.5171428571428571,motor,mixed,9
MSC06,0.4964285714285715,motor,mixed,9
MSC07,0.4978571428571429,motor,mixed,9
MSC10,0.48571428571428565,motor,mixed,9
MSC01,0.4892857142857143,motor,mem,9
MSC02,0.5121428571428571,motor,mem,9
MSC03,0.4928571428571429,motor,mem,9
MSC04,0.47928571428571437,motor,mem,9
MSC05,0.5057142857142857,motor,mem,9
MSC06,0.4964285714285715,motor,mem,9
MSC07,0.505,motor,mem,9
MSC10,0.4785714285714286,motor,mem,9
MSC01,0.4935714285714285,mixed,mem,10
MSC02,0.49642857142857144,mixed,mem,10
MSC03,0.5185714285714286,mixed,mem,10
MSC04,0.5064285714285715,mixed,mem,10
MSC05,0.495,mixed,mem,10
MSC06,0.5128571428571428,mixed,mem,10
MSC07,0.49857142857142855,mixed,mem,10
MSC10,0.48,mixed,mem,10
MSC01,0.4971428571428572,mixed,motor,10
MSC02,0.495,mixed,motor,10
MSC03,0.48,mixed,motor,10
MSC04,0.5071428571428572,mixed,motor,10
MSC05,0.5357142857142857,mixed,motor,10
MSC06,0.5271428571428572,mixed,motor,10
MSC07,0.49214285714285716,mixed,motor,10
MSC10,0.49214285714285716,mixed,motor,10
MSC01,0.5064285714285715,mem,mixed,10
MSC02,0.49071428571428577,mem,mixed,10
MSC03,0.48142857142857143,mem,mixed,10
MSC04,0.5035714285714287,mem,mixed,10
MSC05,0.49857142857142855,mem,mixed,10
MSC06,0.49571428571428583,mem,mixed,10
MSC07,0.5342857142857144,mem,mixed,10
MSC10,0.4914285714285714,mem,mixed,10
MSC01,0.5000000000000001,mem,motor,10
MSC02,0.4907142857142857,mem,motor,10
MSC03,0.48071428571428576,mem,motor,10
MSC04,0.5178571428571429,mem,motor,10
MSC05,0.48999999999999994,mem,motor,10
MSC06,0.49642857142857144,mem,motor,10
MSC07,0.4807142857142856,mem,motor,10
MSC10,0.5,mem,motor,10
MSC01,0.5071428571428572,motor,mixed,10
MSC02,0.4971428571428572,motor,mixed,10
MSC03,0.48428571428571426,motor,mixed,10
MSC04,0.4864285714285715,motor,mixed,10
MSC05,0.49285714285714294,motor,mixed,10
MSC06,0.49785714285714283,motor,mixed,10
MSC07,0.5242857142857144,motor,mixed,10
MSC10,0.4892857142857143,motor,mixed,10
MSC01,0.49071428571428577,motor,mem,10
MSC02,0.4685714285714286,motor,mem,10
MSC03,0.49500000000000005,motor,mem,10
MSC04,0.49999999999999994,motor,mem,10
MSC05,0.5328571428571428,motor,mem,10
MSC06,0.4778571428571429,motor,mem,10
MSC07,0.49214285714285716,motor,mem,10
MSC10,0.5042857142857143,motor,mem,10
MSC01,0.4907142857142857,mixed,mem,11
MSC02,0.4864285714285714,mixed,mem,11
MSC03,0.5099999999999999,mixed,mem,11
MSC04,0.5192857142857144,mixed,mem,11
MSC05,0.4864285714285715,mixed,mem,11
MSC06,0.52,mixed,mem,11
MSC07,0.5057142857142857,mixed,mem,11
MSC10,0.5349999999999999,mixed,mem,11
MSC01,0.48571428571428577,mixed,motor,11
MSC02,0.4978571428571428,mixed,motor,11
MSC03,0.5107142857142857,mixed,motor,11
MSC04,0.5185714285714286,mixed,motor,11
MSC05,0.5335714285714286,mixed,motor,11
MSC06,0.49571428571428566,mixed,motor,11
MSC07,0.5028571428571429,mixed,motor,11
MSC10,0.48928571428571427,mixed,motor,11
MSC01,0.47714285714285715,mem,mixed,11
MSC02,0.47714285714285715,mem,mixed,11
MSC03,0.4907142857142857,mem,mixed,11
MSC04,0.48714285714285716,mem,mixed,11
MSC05,0.4914285714285715,mem,mixed,11
MSC06,0.5178571428571429,mem,mixed,11
MSC07,0.4985714285714286,mem,mixed,11
MSC10,0.48857142857142855,mem,mixed,11
MSC01,0.5007142857142857,mem,motor,11
MSC02,0.49714285714285716,mem,motor,11
MSC03,0.5,mem,motor,11
MSC04,0.5185714285714286,mem,motor,11
MSC05,0.49500000000000005,mem,motor,11
MSC06,0.48857142857142855,mem,motor,11
MSC07,0.5228571428571429,mem,motor,11
MSC10,0.47000000000000003,mem,motor,11
MSC01,0.4828571428571428,motor,mixed,11
MSC02,0.5028571428571429,motor,mixed,11
MSC03,0.4985714285714286,motor,mixed,11
MSC04,0.5178571428571428,motor,mixed,11
MSC05,0.48928571428571427,motor,mixed,11
MSC06,0.5014285714285714,motor,mixed,11
MSC07,0.4992857142857143,motor,mixed,11
MSC10,0.4878571428571429,motor,mixed,11
MSC01,0.48285714285714293,motor,mem,11
MSC02,0.4985714285714286,motor,mem,11
MSC03,0.4935714285714286,motor,mem,11
MSC04,0.4992857142857142,motor,mem,11
MSC05,0.49214285714285716,motor,mem,11
MSC06,0.5064285714285716,motor,mem,11
MSC07,0.5028571428571429,motor,mem,11
MSC10,0.4885714285714286,motor,mem,11
MSC01,0.49642857142857144,mixed,mem,12
MSC02,0.48928571428571427,mixed,mem,12
MSC03,0.5492857142857143,mixed,mem,12
MSC04,0.49714285714285705,mixed,mem,12
MSC05,0.5000000000000001,mixed,mem,12
MSC06,0.5078571428571428,mixed,mem,12
MSC07,0.5042857142857143,mixed,mem,12
MSC10,0.4835714285714286,mixed,mem,12
MSC01,0.46928571428571425,mixed,motor,12
MSC02,0.49357142857142866,mixed,motor,12
MSC03,0.49571428571428583,mixed,motor,12
MSC04,0.5064285714285715,mixed,motor,12
MSC05,0.4950000000000001,mixed,motor,12
MSC06,0.5364285714285714,mixed,motor,12
MSC07,0.5228571428571429,mixed,motor,12
MSC10,0.5371428571428571,mixed,motor,12
MSC01,0.5021428571428571,mem,mixed,12
MSC02,0.5057142857142857,mem,mixed,12
MSC03,0.4921428571428571,mem,mixed,12
MSC04,0.5071428571428571,mem,mixed,12
MSC05,0.5128571428571428,mem,mixed,12
MSC06,0.5149999999999999,mem,mixed,12
MSC07,0.46428571428571425,mem,mixed,12
MSC10,0.5042857142857143,mem,mixed,12
MSC01,0.47000000000000003,mem,motor,12
MSC02,0.505,mem,motor,12
MSC03,0.4885714285714286,mem,motor,12
MSC04,0.4964285714285714,mem,motor,12
MSC05,0.49642857142857144,mem,motor,12
MSC06,0.5064285714285715,mem,motor,12
MSC07,0.5042857142857143,mem,motor,12
MSC10,0.49571428571428566,mem,motor,12
MSC01,0.4907142857142857,motor,mixed,12
MSC02,0.48357142857142854,motor,mixed,12
MSC03,0.5042857142857143,motor,mixed,12
MSC04,0.4928571428571429,motor,mixed,12
MSC05,0.48214285714285715,motor,mixed,12
MSC06,0.49714285714285705,motor,mixed,12
MSC07,0.5107142857142857,motor,mixed,12
MSC10,0.48857142857142855,motor,mixed,12
MSC01,0.5157142857142858,motor,mem,12
MSC02,0.515,motor,mem,12
MSC03,0.4842857142857143,motor,mem,12
MSC04,0.5021428571428571,motor,mem,12
MSC05,0.5064285714285715,motor,mem,12
MSC06,0.5078571428571429,motor,mem,12
MSC07,0.5,motor,mem,12
MSC10,0.5028571428571428,motor,mem,12
