train,acc,network
MSC02,0.0,31
MSC03,0.0,31
MSC04,0.0,31
MSC05,0.0,31
MSC06,0.0,31
MSC07,0.0,31
MSC10,0.0,31
MSC01,0.0,31
MSC02,0.0,31
MSC03,0.0,31
MSC04,0.0,31
MSC05,0.0,31
MSC06,0.0,31
MSC07,0.0,31
MSC10,0.0,31
MSC01,0.0,31
MSC02,0.0,31
MSC03,0.0,31
MSC04,0.0,31
MSC05,0.0,31
MSC06,0.0,31
MSC07,0.0,31
MSC10,0.0,31
MSC01,0.0,31
MSC02,0.0,31
MSC03,0.0,31
MSC04,0.0,31
MSC05,0.0,31
MSC06,0.0,31
MSC07,0.0,31
MSC10,0.0,31
MSC01,0.0,32
MSC02,0.0,32
MSC03,0.0,32
MSC04,0.0,32
MSC05,0.0,32
