acc,train,test,frames
0.65625,MSC03,MSC07,80
0.8125000000000001,MSC03,MSC10,80
0.995,MSC04,MSC01,80
0.95,MSC04,MSC02,80
0.9200000000000002,MSC04,MSC03,80
0.925,MSC04,MSC05,80
1.0,MSC04,MSC06,80
0.8950000000000001,MSC04,MSC07,80
0.915,MSC04,MSC10,80
1.0,MSC05,MSC01,80
0.64,MSC05,MSC02,80
0.8400000000000001,MSC05,MSC03,80
0.865,MSC05,MSC04,80
1.0,MSC05,MSC06,80
0.8699999999999999,MSC05,MSC07,80
0.845,MSC05,MSC10,80
0.775,MSC06,MSC01,80
0.8600000000000001,MSC06,MSC02,80
0.72,MSC06,MSC03,80
0.95,MSC06,MSC04,80
0.995,MSC06,MSC05,80
0.645,MSC06,MSC07,80
0.6700000000000002,MSC06,MSC10,80
0.59,MSC07,MSC01,80
0.5599999999999998,MSC07,MSC02,80
0.7,MSC07,MSC03,80
0.78,MSC07,MSC04,80
0.7649999999999999,MSC07,MSC05,80
0.93,MSC07,MSC06,80
0.85,MSC07,MSC10,80
0.885,MSC10,MSC01,80
0.6800000000000002,MSC10,MSC02,80
0.875,MSC10,MSC03,80
0.89,MSC10,MSC04,80
0.8549999999999999,MSC10,MSC05,80
0.975,MSC10,MSC06,80
0.67,MSC10,MSC07,80
0.9000000000000001,MSC01,MSC02,90
0.8999999999999998,MSC01,MSC03,90
0.9000000000000001,MSC01,MSC04,90
0.975,MSC01,MSC05,90
0.97,MSC01,MSC06,90
0.825,MSC01,MSC07,90
0.935,MSC01,MSC10,90
0.985,MSC02,MSC01,90
0.92,MSC02,MSC03,90
0.95,MSC02,MSC04,90
0.91,MSC02,MSC05,90
0.99,MSC02,MSC06,90
0.9350000000000002,MSC02,MSC07,90
0.95,MSC02,MSC10,90
0.69375,MSC03,MSC01,90
0.89375,MSC03,MSC02,90
0.7374999999999999,MSC03,MSC04,90
0.9000000000000001,MSC03,MSC05,90
0.625,MSC03,MSC06,90
0.5812499999999999,MSC03,MSC07,90
0.7687499999999999,MSC03,MSC10,90
0.5449999999999999,MSC04,MSC01,90
0.89,MSC04,MSC02,90
0.635,MSC04,MSC03,90
0.98,MSC04,MSC05,90
0.965,MSC04,MSC06,90
0.7150000000000001,MSC04,MSC07,90
0.78,MSC04,MSC10,90
0.8949999999999998,MSC05,MSC01,90
0.6100000000000001,MSC05,MSC02,90
0.8550000000000001,MSC05,MSC03,90
0.95,MSC05,MSC04,90
0.995,MSC05,MSC06,90
0.7749999999999999,MSC05,MSC07,90
0.875,MSC05,MSC10,90
0.91,MSC06,MSC01,90
0.93,MSC06,MSC02,90
0.8800000000000001,MSC06,MSC03,90
0.985,MSC06,MSC04,90
0.96,MSC06,MSC05,90
0.745,MSC06,MSC07,90
0.8150000000000001,MSC06,MSC10,90
0.8799999999999999,MSC07,MSC01,90
0.8,MSC07,MSC02,90
0.805,MSC07,MSC03,90
0.915,MSC07,MSC04,90
0.96,MSC07,MSC05,90
0.975,MSC07,MSC06,90
0.935,MSC07,MSC10,90
0.8200000000000001,MSC10,MSC01,90
0.7849999999999999,MSC10,MSC02,90
0.8750000000000002,MSC10,MSC03,90
0.89,MSC10,MSC04,90
0.845,MSC10,MSC05,90
0.98,MSC10,MSC06,90
0.6649999999999999,MSC10,MSC07,90
0.955,MSC01,MSC02,100
0.8099999999999999,MSC01,MSC03,100
0.94,MSC01,MSC04,100
0.975,MSC01,MSC05,100
0.9200000000000002,MSC01,MSC06,100
0.8049999999999999,MSC01,MSC07,100
0.92,MSC01,MSC10,100
0.905,MSC02,MSC01,100
0.7450000000000001,MSC02,MSC03,100
0.99,MSC02,MSC04,100
0.97,MSC02,MSC05,100
0.985,MSC02,MSC06,100
0.86,MSC02,MSC07,100
0.96,MSC02,MSC10,100
0.91875,MSC03,MSC01,100
0.95625,MSC03,MSC02,100
0.9625,MSC03,MSC04,100
0.95,MSC03,MSC05,100
0.8937500000000002,MSC03,MSC06,100
0.70625,MSC03,MSC07,100
0.91875,MSC03,MSC10,100
1.0,MSC04,MSC01,100
0.9549999999999998,MSC04,MSC02,100
0.905,MSC04,MSC03,100
0.8800000000000001,MSC04,MSC05,100
0.945,MSC04,MSC06,100
0.885,MSC04,MSC07,100
0.995,MSC04,MSC10,100
0.975,MSC05,MSC01,100
0.79,MSC05,MSC02,100
0.905,MSC05,MSC03,100
0.685,MSC05,MSC04,100
0.98,MSC05,MSC06,100
0.775,MSC05,MSC07,100
0.9000000000000001,MSC05,MSC10,100
0.7150000000000001,MSC06,MSC01,100
0.805,MSC06,MSC02,100
0.8399999999999999,MSC06,MSC03,100
0.935,MSC06,MSC04,100
0.995,MSC06,MSC05,100
0.705,MSC06,MSC07,100
0.79,MSC06,MSC10,100
0.905,MSC07,MSC01,100
0.8399999999999999,MSC07,MSC02,100
0.865,MSC07,MSC03,100
0.9000000000000001,MSC07,MSC04,100
0.93,MSC07,MSC05,100
0.97,MSC07,MSC06,100
0.9250000000000002,MSC07,MSC10,100
0.9722222222222222,MSC10,MSC01,100
0.9444444444444444,MSC10,MSC02,100
0.8500000000000001,MSC10,MSC03,100
0.9000000000000001,MSC10,MSC04,100
0.9722222222222222,MSC10,MSC05,100
0.977777777777778,MSC10,MSC06,100
0.8666666666666667,MSC10,MSC07,100
0.5849999999999999,MSC01,MSC02,125
0.7000000000000001,MSC01,MSC03,125
0.8599999999999998,MSC01,MSC04,125
1.0,MSC01,MSC05,125
0.975,MSC01,MSC06,125
0.5,MSC01,MSC07,125
0.8149999999999998,MSC01,MSC10,125
0.985,MSC02,MSC01,125
0.825,MSC02,MSC03,125
0.97,MSC02,MSC04,125
0.97,MSC02,MSC05,125
0.98,MSC02,MSC06,125
0.9,MSC02,MSC07,125
0.98,MSC02,MSC10,125
0.8416666666666665,MSC03,MSC01,125
0.8249999999999998,MSC03,MSC02,125
0.8833333333333334,MSC03,MSC04,125
0.8250000000000001,MSC03,MSC05,125
0.7333333333333333,MSC03,MSC06,125
0.6666666666666666,MSC03,MSC07,125
0.9,MSC03,MSC10,125
0.585,MSC04,MSC01,125
0.8600000000000001,MSC04,MSC02,125
0.655,MSC04,MSC03,125
0.975,MSC04,MSC05,125
0.96,MSC04,MSC06,125
0.6799999999999999,MSC04,MSC07,125
0.7549999999999999,MSC04,MSC10,125
0.955,MSC05,MSC01,125
0.67,MSC05,MSC02,125
0.93,MSC05,MSC03,125
0.8149999999999998,MSC05,MSC04,125
1.0,MSC05,MSC06,125
0.91,MSC05,MSC07,125
0.8900000000000002,MSC05,MSC10,125
0.98,MSC06,MSC01,125
0.8949999999999999,MSC06,MSC02,125
0.96,MSC06,MSC03,125
0.945,MSC06,MSC04,125
0.925,MSC06,MSC05,125
0.925,MSC06,MSC07,125
0.975,MSC06,MSC10,125
0.885,MSC07,MSC01,125
0.795,MSC07,MSC02,125
0.745,MSC07,MSC03,125
0.89,MSC07,MSC04,125
0.96,MSC07,MSC05,125
0.97,MSC07,MSC06,125
0.935,MSC07,MSC10,125
0.9388888888888888,MSC10,MSC01,125
0.7055555555555556,MSC10,MSC02,125
0.9000000000000001,MSC10,MSC03,125
