,train_task,test_task,sub,acc,Features
1,mixed,mem,MSC01,0.7399999999999999,100
2,motor,mixed,MSC01,0.885,100
3,motor,mem,MSC01,0.7250000000000001,100
4,mem,mixed,MSC01,0.7999999999999998,100
5,mem,motor,MSC01,0.72,100
6,mixed,motor,MSC02,0.7299999999999999,100
7,mixed,mem,MSC02,0.8550000000000001,100
8,motor,mixed,MSC02,0.5,100
9,motor,mem,MSC02,0.51,100
10,mem,mixed,MSC02,0.72,100
11,mem,motor,MSC02,0.68,100
12,mixed,motor,MSC03,0.8800000000000001,100
13,mixed,mem,MSC03,0.7599999999999999,100
14,motor,mixed,MSC03,0.5249999999999999,100
15,motor,mem,MSC03,0.5599999999999999,100
16,mem,mixed,MSC03,0.5499999999999999,100
17,mem,motor,MSC03,0.705,100
18,mixed,motor,MSC04,0.835,100
19,mixed,mem,MSC04,0.98,100
20,motor,mixed,MSC04,0.63,100
21,motor,mem,MSC04,0.7700000000000001,100
22,mem,mixed,MSC04,0.82,100
23,mem,motor,MSC04,0.8099999999999999,100
24,mixed,motor,MSC05,0.915,100
25,mixed,mem,MSC05,0.95,100
26,motor,mixed,MSC05,0.6900000000000001,100
27,motor,mem,MSC05,0.915,100
28,mem,mixed,MSC05,0.755,100
29,mem,motor,MSC05,0.905,100
30,mixed,motor,MSC06,0.7850000000000001,100
31,mixed,mem,MSC06,0.8699999999999999,100
32,motor,mixed,MSC06,0.615,100
33,motor,mem,MSC06,0.7150000000000001,100
34,mem,mixed,MSC06,0.6900000000000001,100
35,mem,motor,MSC06,0.705,100
36,mixed,motor,MSC07,0.745,100
37,mixed,mem,MSC07,0.8499999999999999,100
38,motor,mixed,MSC07,0.5449999999999999,100
39,motor,mem,MSC07,0.5949999999999999,100
40,mem,mixed,MSC07,0.7300000000000001,100
41,mem,motor,MSC07,0.8950000000000001,100
42,mixed,motor,MSC10,0.7050000000000001,100
43,mixed,mem,MSC10,0.96,100
44,motor,mixed,MSC10,0.5449999999999999,100
45,motor,mem,MSC10,0.62,100
46,mem,mixed,MSC10,0.7699999999999999,100
47,mem,motor,MSC10,0.6900000000000001,100
0,mixed,motor,MSC01,0.935,200
1,mixed,mem,MSC01,0.8700000000000001,200
2,motor,mixed,MSC01,0.645,200
3,motor,mem,MSC01,0.685,200
4,mem,mixed,MSC01,0.95,200
5,mem,motor,MSC01,1.0,200
6,mixed,motor,MSC02,0.6650000000000001,200
7,mixed,mem,MSC02,0.94,200
8,motor,mixed,MSC02,0.5,200
9,motor,mem,MSC02,0.5,200
10,mem,mixed,MSC02,0.8800000000000001,200
11,mem,motor,MSC02,0.53,200
12,mixed,motor,MSC03,0.8800000000000001,200
13,mixed,mem,MSC03,0.74,200
14,motor,mixed,MSC03,0.505,200
15,motor,mem,MSC03,0.5900000000000001,200
16,mem,mixed,MSC03,0.5599999999999998,200
