train_task,test_task,train_sub,test_sub,acc,spec,sen
mem,motor,MSC04,MSC07,0.8249999999999998,0.76,0.8900000000000002
glass,semantic,MSC04,MSC10,0.6950000000000001,1.0,0.39
glass,motor,MSC04,MSC10,0.79,1.0,0.58
glass,mem,MSC04,MSC10,0.7150000000000001,1.0,0.43
semantic,glass,MSC04,MSC10,0.56,1.0,0.12
semantic,motor,MSC04,MSC10,0.5,1.0,0.0
semantic,mem,MSC04,MSC10,0.6100000000000001,1.0,0.22000000000000003
motor,glass,MSC04,MSC10,0.7150000000000001,0.99,0.43999999999999995
motor,semantic,MSC04,MSC10,0.665,0.99,0.33999999999999997
motor,mem,MSC04,MSC10,0.76,0.99,0.53
mem,glass,MSC04,MSC10,0.9049999999999999,0.9099999999999999,0.9000000000000001
mem,semantic,MSC04,MSC10,0.8949999999999999,0.9099999999999999,0.8800000000000001
mem,motor,MSC04,MSC10,0.9349999999999999,0.9099999999999999,0.96
glass,semantic,MSC05,MSC01,0.53,1.0,0.06
glass,motor,MSC05,MSC01,0.5349999999999999,1.0,0.06999999999999999
glass,mem,MSC05,MSC01,0.5,1.0,0.0
semantic,glass,MSC05,MSC01,0.6450000000000001,1.0,0.2899999999999999
semantic,motor,MSC05,MSC01,0.8049999999999999,1.0,0.61
semantic,mem,MSC05,MSC01,0.75,1.0,0.4999999999999999
motor,glass,MSC05,MSC01,0.5499999999999999,1.0,0.09999999999999999
motor,semantic,MSC05,MSC01,0.5,1.0,0.0
motor,mem,MSC05,MSC01,0.5,1.0,0.0
mem,glass,MSC05,MSC01,0.875,0.99,0.76
mem,semantic,MSC05,MSC01,0.8949999999999999,0.99,0.8
mem,motor,MSC05,MSC01,0.93,0.99,0.8700000000000001
glass,semantic,MSC05,MSC02,0.53,1.0,0.06000000000000001
glass,motor,MSC05,MSC02,0.7649999999999999,1.0,0.53
glass,mem,MSC05,MSC02,0.525,1.0,0.05
semantic,glass,MSC05,MSC02,0.6649999999999999,1.0,0.33
semantic,motor,MSC05,MSC02,0.775,1.0,0.5499999999999999
semantic,mem,MSC05,MSC02,0.6699999999999999,1.0,0.34
motor,glass,MSC05,MSC02,0.5999999999999999,1.0,0.19999999999999998
motor,semantic,MSC05,MSC02,0.655,1.0,0.31
motor,mem,MSC05,MSC02,0.505,1.0,0.01
mem,glass,MSC05,MSC02,0.7000000000000001,0.45,0.95
mem,semantic,MSC05,MSC02,0.7000000000000001,0.45,0.95
mem,motor,MSC05,MSC02,0.7250000000000001,0.45,1.0
glass,semantic,MSC05,MSC03,0.59,1.0,0.18
glass,motor,MSC05,MSC03,0.525,1.0,0.05
glass,mem,MSC05,MSC03,0.5,1.0,0.0
semantic,glass,MSC05,MSC03,0.6849999999999999,1.0,0.37
semantic,motor,MSC05,MSC03,0.8099999999999998,1.0,0.62
semantic,mem,MSC05,MSC03,0.5699999999999998,1.0,0.13999999999999999
motor,glass,MSC05,MSC03,0.68,1.0,0.36
motor,semantic,MSC05,MSC03,0.5999999999999999,1.0,0.19999999999999998
motor,mem,MSC05,MSC03,0.5,1.0,0.0
mem,glass,MSC05,MSC03,0.915,0.9800000000000001,0.8500000000000002
mem,semantic,MSC05,MSC03,0.8950000000000001,0.9800000000000001,0.8099999999999999
mem,motor,MSC05,MSC03,0.9800000000000001,0.9800000000000001,0.9800000000000001
glass,semantic,MSC05,MSC04,0.5449999999999999,1.0,0.09
glass,motor,MSC05,MSC04,0.515,1.0,0.030000000000000006
glass,mem,MSC05,MSC04,0.5,1.0,0.0
semantic,glass,MSC05,MSC04,0.5799999999999998,1.0,0.16
semantic,motor,MSC05,MSC04,0.655,1.0,0.30999999999999994
semantic,mem,MSC05,MSC04,0.5449999999999999,1.0,0.09
motor,glass,MSC05,MSC04,0.5899999999999999,1.0,0.18000000000000002
