train_task,test_task,sub,acc,features
semantic,glass,MSC04,0.835,32529
semantic,motor,MSC04,0.57,32529
semantic,mem,MSC04,0.835,32529
glass,semantic,MSC04,0.9400000000000001,32529
glass,motor,MSC04,0.9099999999999999,32529
glass,mem,MSC04,0.9250000000000002,32529
motor,semantic,MSC04,0.6599999999999999,32529
motor,glass,MSC04,0.9549999999999998,32529
motor,mem,MSC04,0.8100000000000002,32529
mem,semantic,MSC04,0.9600000000000002,32529
mem,glass,MSC04,0.945,32529
mem,motor,MSC04,0.945,32529
semantic,glass,MSC05,0.9000000000000001,32529
semantic,motor,MSC05,0.8049999999999999,32529
semantic,mem,MSC05,0.9400000000000001,32529
glass,semantic,MSC05,0.975,32529
glass,motor,MSC05,0.8900000000000002,32529
glass,mem,MSC05,1.0,32529
motor,semantic,MSC05,0.705,32529
motor,glass,MSC05,0.8049999999999999,32529
motor,mem,MSC05,0.9850000000000001,32529
mem,semantic,MSC05,0.9949999999999999,32529
mem,glass,MSC05,0.9549999999999998,32529
mem,motor,MSC05,0.985,32529
semantic,glass,MSC06,0.7722222222222221,32529
semantic,motor,MSC06,0.69,32529
semantic,mem,MSC06,0.9649999999999999,32529
glass,semantic,MSC06,0.861111111111111,32529
glass,motor,MSC06,0.8555555555555555,32529
glass,mem,MSC06,0.9222222222222223,32529
motor,semantic,MSC06,0.7350000000000001,32529
motor,glass,MSC06,0.5277777777777778,32529
motor,mem,MSC06,0.755,32529
mem,semantic,MSC06,0.8600000000000001,32529
mem,glass,MSC06,0.8222222222222222,32529
mem,motor,MSC06,0.9199999999999999,32529
semantic,glass,MSC07,0.9400000000000001,32529
semantic,motor,MSC07,0.5499999999999999,32529
semantic,mem,MSC07,0.725,32529
glass,semantic,MSC07,1.0,32529
glass,motor,MSC07,0.585,32529
glass,mem,MSC07,0.8300000000000001,32529
motor,semantic,MSC07,0.5549999999999999,32529
motor,glass,MSC07,0.5349999999999999,32529
motor,mem,MSC07,0.5249999999999999,32529
mem,semantic,MSC07,0.96,32529
mem,glass,MSC07,0.9850000000000001,32529
mem,motor,MSC07,0.865,32529
semantic,glass,MSC10,0.9,32529
semantic,motor,MSC10,0.6950000000000001,32529
semantic,mem,MSC10,0.8850000000000001,32529
glass,semantic,MSC10,0.845,32529
glass,motor,MSC10,0.89,32529
glass,mem,MSC10,0.925,32529
motor,semantic,MSC10,0.6199999999999999,32529
motor,glass,MSC10,0.6399999999999999,32529
motor,mem,MSC10,0.75,32529
mem,semantic,MSC10,0.8549999999999999,32529
mem,glass,MSC10,0.9349999999999999,32529
mem,motor,MSC10,0.9349999999999999,32529
semantic,glass,MSC01,0.9000000000000001,11766
semantic,motor,MSC01,0.765,11766
semantic,mem,MSC01,0.6900000000000002,11766
glass,semantic,MSC01,0.95,11766
glass,motor,MSC01,0.975,11766
glass,mem,MSC01,0.8049999999999999,11766
motor,semantic,MSC01,0.9099999999999999,11766
motor,glass,MSC01,0.9,11766
motor,mem,MSC01,0.6550000000000001,11766
mem,semantic,MSC01,0.99,11766
mem,glass,MSC01,0.975,11766
mem,motor,MSC01,1.0,11766
semantic,glass,MSC02,0.685,11766
semantic,motor,MSC02,0.5,11766
semantic,mem,MSC02,0.495,11766
glass,semantic,MSC02,0.9100000000000001,11766
glass,motor,MSC02,0.6950000000000001,11766
glass,mem,MSC02,0.6249999999999998,11766
motor,semantic,MSC02,0.51,11766
motor,glass,MSC02,0.5650000000000001,11766
motor,mem,MSC02,0.5,11766
mem,semantic,MSC02,0.8699999999999999,11766
mem,glass,MSC02,0.86,11766
mem,motor,MSC02,0.615,11766
semantic,glass,MSC03,0.75,11766
semantic,motor,MSC03,0.745,11766
semantic,mem,MSC03,0.685,11766
glass,semantic,MSC03,0.8850000000000001,11766
glass,motor,MSC03,0.9949999999999999,11766
glass,mem,MSC03,0.74,11766
motor,semantic,MSC03,0.68,11766
motor,glass,MSC03,0.78,11766
motor,mem,MSC03,0.7100000000000001,11766
mem,semantic,MSC03,0.7849999999999999,11766
mem,glass,MSC03,0.7,11766
mem,motor,MSC03,0.905,11766
semantic,glass,MSC04,0.78,11766
semantic,motor,MSC04,0.6500000000000001,11766
