,train_sub,Analysis,acc,Network_A,Network_B
0,MSC01,Same Subject,0.9678571428571429,default,pmn
1,MSC02,Same Subject,0.8553571428571428,default,pmn
2,MSC03,Same Subject,0.7625000000000001,default,pmn
3,MSC04,Same Subject,0.8946428571428572,default,pmn
4,MSC05,Same Subject,0.9053571428571427,default,pmn
5,MSC06,Same Subject,0.9642857142857143,default,pmn
6,MSC07,Same Subject,0.7785714285714286,default,pmn
7,MSC10,Same Subject,0.7821428571428571,default,pmn
8,MSC01,Different Subject,0.6181122448979591,default,pmn
9,MSC02,Different Subject,0.5769897959183673,default,pmn
10,MSC03,Different Subject,0.5536734693877551,default,pmn
11,MSC04,Different Subject,0.6183673469387755,default,pmn
12,MSC05,Different Subject,0.5813265306122448,default,pmn
13,MSC06,Different Subject,0.6549489795918367,default,pmn
14,MSC07,Different Subject,0.6155612244897959,default,pmn
15,MSC10,Different Subject,0.6311224489795918,default,pmn
0,MSC01,Same Subject,0.794642857142857,default,pon
1,MSC02,Same Subject,0.7446428571428572,default,pon
2,MSC03,Same Subject,0.7464285714285713,default,pon
3,MSC04,Same Subject,0.9,default,pon
4,MSC05,Same Subject,0.932142857142857,default,pon
5,MSC06,Same Subject,0.8607142857142858,default,pon
6,MSC07,Same Subject,0.7875,default,pon
7,MSC10,Same Subject,0.7928571428571428,default,pon
8,MSC01,Different Subject,0.610969387755102,default,pon
9,MSC02,Different Subject,0.566734693877551,default,pon
10,MSC03,Different Subject,0.5659693877551021,default,pon
11,MSC04,Different Subject,0.5740306122448979,default,pon
12,MSC05,Different Subject,0.5587755102040817,default,pon
13,MSC06,Different Subject,0.5545408163265306,default,pon
14,MSC07,Different Subject,0.576938775510204,default,pon
15,MSC10,Different Subject,0.5473979591836734,default,pon
0,MSC01,Same Subject,0.9874999999999999,visual,fp
1,MSC02,Same Subject,0.9,visual,fp
2,MSC03,Same Subject,0.9196428571428571,visual,fp
3,MSC04,Same Subject,0.9357142857142857,visual,fp
4,MSC05,Same Subject,0.9767857142857143,visual,fp
5,MSC06,Same Subject,0.9607142857142856,visual,fp
6,MSC07,Same Subject,0.9214285714285715,visual,fp
7,MSC10,Same Subject,0.8232142857142858,visual,fp
8,MSC01,Different Subject,0.5204081632653061,visual,fp
9,MSC02,Different Subject,0.5740306122448979,visual,fp
10,MSC03,Different Subject,0.6869387755102042,visual,fp
11,MSC04,Different Subject,0.6817857142857141,visual,fp
12,MSC05,Different Subject,0.6570408163265304,visual,fp
13,MSC06,Different Subject,0.650408163265306,visual,fp
14,MSC07,Different Subject,0.634795918367347,visual,fp
15,MSC10,Different Subject,0.5332653061224489,visual,fp
