sub,task,acc,features
MSC04,semantic,0.9,101
MSC04,glass,0.95,101
MSC04,motor,1.0,101
MSC04,mem,1.0,101
MSC05,semantic,0.85,101
MSC05,glass,0.75,101
MSC05,motor,0.9,101
MSC05,mem,0.95,101
MSC06,semantic,0.9,101
MSC06,glass,0.7777777777777778,101
MSC06,motor,0.9,101
MSC06,mem,1.0,101
MSC07,semantic,0.95,101
MSC07,glass,0.95,101
MSC07,motor,1.0,101
MSC07,mem,0.9,101
MSC10,semantic,0.9,101
MSC10,glass,0.65,101
MSC10,motor,0.85,101
MSC10,mem,1.0,101
MSC01,semantic,0.95,90
MSC01,glass,0.8,90
MSC01,motor,0.95,90
MSC01,mem,0.9,90
MSC02,semantic,0.9,90
MSC02,glass,0.85,90
MSC02,motor,0.95,90
MSC02,mem,0.9,90
MSC03,semantic,0.8,90
MSC03,glass,0.85,90
MSC03,motor,0.95,90
MSC03,mem,0.9,90
MSC04,semantic,0.95,90
MSC04,glass,0.85,90
MSC04,motor,1.0,90
MSC04,mem,0.9,90
MSC05,semantic,1.0,90
MSC05,glass,0.9,90
MSC05,motor,0.95,90
MSC05,mem,1.0,90
MSC06,semantic,0.9,90
MSC06,glass,0.8333333333333334,90
MSC06,motor,0.9,90
MSC06,mem,1.0,90
MSC07,semantic,0.95,90
MSC07,glass,0.9,90
MSC07,motor,0.95,90
MSC07,mem,0.9,90
MSC10,semantic,0.9,90
MSC10,glass,0.85,90
MSC10,motor,0.95,90
MSC10,mem,0.85,90
MSC01,semantic,0.9,51
MSC01,glass,0.75,51
MSC01,motor,0.65,51
MSC01,mem,0.9,51
MSC02,semantic,0.85,51
MSC02,glass,0.75,51
MSC02,motor,0.9,51
MSC02,mem,0.95,51
MSC03,semantic,0.9,51
MSC03,glass,0.8,51
MSC03,motor,0.95,51
MSC03,mem,0.9,51
MSC04,semantic,0.95,51
MSC04,glass,0.8,51
MSC04,motor,0.8,51
MSC04,mem,0.95,51
MSC05,semantic,1.0,51
MSC05,glass,0.9,51
MSC05,motor,0.9,51
MSC05,mem,1.0,51
MSC06,semantic,0.85,51
MSC06,glass,0.7222222222222222,51
MSC06,motor,0.95,51
MSC06,mem,0.95,51
MSC07,semantic,0.95,51
MSC07,glass,0.9,51
MSC07,motor,0.9,51
MSC07,mem,0.95,51
MSC10,semantic,0.9,51
MSC10,glass,0.7,51
MSC10,motor,0.95,51
MSC10,mem,0.9,51
MSC01,semantic,0.95,143
MSC01,glass,0.9,143
MSC01,motor,0.95,143
MSC01,mem,1.0,143
MSC02,semantic,0.85,143
MSC02,glass,0.8,143
MSC02,motor,0.95,143
MSC02,mem,1.0,143
MSC03,semantic,0.95,143
MSC03,glass,0.85,143
MSC03,motor,0.9,143
MSC03,mem,0.95,143
MSC04,semantic,0.95,143
MSC04,glass,0.95,143
MSC04,motor,0.95,143
MSC04,mem,1.0,143
MSC05,semantic,0.95,143
MSC05,glass,0.9,143
MSC05,motor,0.95,143
MSC05,mem,1.0,143
MSC06,semantic,0.9,143
MSC06,glass,0.7777777777777778,143
MSC06,motor,0.95,143
MSC06,mem,1.0,143
MSC07,semantic,0.85,143
MSC07,glass,0.9,143
MSC07,motor,0.85,143
MSC07,mem,1.0,143
MSC10,semantic,0.8,143
MSC10,glass,0.8,143
MSC10,motor,0.95,143
MSC10,mem,0.95,143
MSC01,semantic,0.9,136
MSC01,glass,0.95,136
MSC01,motor,0.95,136
MSC01,mem,1.0,136
MSC02,semantic,0.95,136
MSC02,glass,0.6,136
MSC02,motor,0.95,136
MSC02,mem,0.95,136
MSC03,semantic,0.95,136
MSC03,glass,0.75,136
MSC03,motor,1.0,136
MSC03,mem,0.9,136
MSC04,semantic,0.9,136
MSC04,glass,0.9,136
MSC04,motor,1.0,136
MSC04,mem,0.95,136
MSC05,semantic,0.95,136
MSC05,glass,0.8,136
MSC05,motor,0.95,136
