,train_task,test_task,sub,acc,Features
91,motor,semantic,MSC10,0.6100000000000001,60
92,motor,mem,MSC10,0.6150000000000001,60
93,mem,glass,MSC10,0.98,60
94,mem,semantic,MSC10,0.77,60
95,mem,motor,MSC10,0.925,60
0,glass,semantic,MSC01,0.75,70
1,glass,motor,MSC01,0.8800000000000001,70
2,glass,mem,MSC01,0.6700000000000002,70
3,semantic,glass,MSC01,0.7999999999999999,70
4,semantic,motor,MSC01,0.8550000000000001,70
5,semantic,mem,MSC01,0.705,70
6,motor,glass,MSC01,0.675,70
7,motor,semantic,MSC01,0.73,70
8,motor,mem,MSC01,0.7649999999999999,70
9,mem,glass,MSC01,0.8299999999999998,70
10,mem,semantic,MSC01,0.8850000000000001,70
11,mem,motor,MSC01,0.925,70
12,glass,semantic,MSC02,0.82,70
13,glass,motor,MSC02,0.5999999999999999,70
14,glass,mem,MSC02,0.6700000000000002,70
15,semantic,glass,MSC02,0.635,70
16,semantic,motor,MSC02,0.6049999999999999,70
17,semantic,mem,MSC02,0.615,70
18,motor,glass,MSC02,0.6950000000000001,70
19,motor,semantic,MSC02,0.8449999999999998,70
20,motor,mem,MSC02,0.6950000000000001,70
21,mem,glass,MSC02,0.7749999999999999,70
22,mem,semantic,MSC02,0.8950000000000001,70
23,mem,motor,MSC02,0.8400000000000001,70
24,glass,semantic,MSC03,0.7000000000000001,70
25,glass,motor,MSC03,0.7749999999999999,70
26,glass,mem,MSC03,0.6950000000000001,70
27,semantic,glass,MSC03,0.705,70
28,semantic,motor,MSC03,0.65,70
29,semantic,mem,MSC03,0.7300000000000001,70
30,motor,glass,MSC03,0.835,70
31,motor,semantic,MSC03,0.5549999999999999,70
32,motor,mem,MSC03,0.755,70
33,mem,glass,MSC03,0.6950000000000001,70
34,mem,semantic,MSC03,0.6150000000000001,70
35,mem,motor,MSC03,0.865,70
36,glass,semantic,MSC04,0.745,70
37,glass,motor,MSC04,0.7050000000000002,70
38,glass,mem,MSC04,0.85,70
39,semantic,glass,MSC04,0.89,70
40,semantic,motor,MSC04,0.7999999999999999,70
41,semantic,mem,MSC04,0.865,70
42,motor,glass,MSC04,0.7649999999999999,70
43,motor,semantic,MSC04,0.75,70
44,motor,mem,MSC04,0.9099999999999998,70
45,mem,glass,MSC04,0.93,70
46,mem,semantic,MSC04,0.7799999999999999,70
47,mem,motor,MSC04,0.94,70
48,glass,semantic,MSC05,0.7000000000000001,70
49,glass,motor,MSC05,0.78,70
